"code_zone_IPRES","code_sector_IPRES","agence_IPRES","code_zone_CSS","code_sector_CSS","agence_CSS"
DAKAR PLATEAU,Plateau,I_PL,DAKAR PLATEAU,Plateau,C_PT
GRAND DAKAR,HANN BEL AIR,I_PE,GRAND DAKAR,HANN BEL AIR,C_WI
BANDAFASSI,BANDAFASSI,I_TB,BANDAFASSI,BANDAFASSI,C_TB
KEUR MOUSSA,KEUR MOUSSA,I_TH,KEUR MOUSSA,KEUR MOUSSA,C_TH
COM. LINGUERE,COM. LINGUERE,I_LG,COM. LINGUERE,COM. LINGUERE,C_LG
PIKINE DAGOUDANE,Pikine OUEST,I_PK,PIKINE DAGOUDANE,Pikine OUEST,C_GY
COM. DIAKHAO,COM. DIAKHAO,I_KA,COM. DIAKHAO,COM. DIAKHAO,C_KA
DAKAR PLATEAU,GOREE,I_PL,DAKAR PLATEAU,GOREE,C_PT
PARCELLES ASSAINIES,Parcelles Assainies,I_PK,PARCELLES ASSAINIES,Parcelles Assainies,C_GY
VELINGARA,LOUGRE-THIOLY,I_MA,VELINGARA,LOUGRE-THIOLY,C_MA
COM. JAXAAY PARCELLE NIAKOUL RAP,COM. JAXAAY PARCELLE NIAKOUL RAP,I_RF,COM. JAXAAY PARCELLE NIAKOUL RAP,COM. JAXAAY PARCELLE NIAKOUL RAP,C_RF
ALMADIES,MERMOZ SACRE COEUR,I_DP,ALMADIES,MERMOZ SACRE COEUR,C_WI
MEOUANE,TAIBA NDIAYE,I_TH,MEOUANE,TAIBA NDIAYE,C_TH
COM. ROSSO-SENEGAL,COM. ROSSO-SENEGAL,I_RT,COM. ROSSO-SENEGAL,COM. ROSSO-SENEGAL,C_RT
COM. SANGALKAM,COM. SANGALKAM,I_RF,COM. SANGALKAM,COM. SANGALKAM,C_RF
COM. SALIKEGNE,COM. SALIKEGNE,I_KO,COM. SALIKEGNE,COM. SALIKEGNE,C_KO
COM. BAKEL,COM. BAKEL,I_TB,COM. BAKEL,COM. BAKEL,C_TB
NIAGUIS,NIAGUIS,I_ZI,NIAGUIS,NIAGUIS,C_ZI
NYASSIA,ENAMPORE,I_ZI,NYASSIA,ENAMPORE,C_ZI
COM. SEDHIOU,COM. SEDHIOU,I_KO,COM. SEDHIOU,COM. SEDHIOU,C_KO
COM. FOUNDIOUGNE,COM. FOUNDIOUGNE,I_KA,COM. FOUNDIOUGNE,COM. FOUNDIOUGNE,C_KA
DAKAR PLATEAU,Plateau,I_PE,DAKAR PLATEAU,Plateau,C_VD
DAKAR PLATEAU,Plateau,I_PL,DAKAR PLATEAU,Plateau,C_VD
BARKEDJI,GASSANE,I_LG,BARKEDJI,GASSANE,C_LG
CAS-CAS,DOUNGA-LAO,I_SL,CAS-CAS,DOUNGA-LAO,C_SL
COM. SINTHIOU BAMANBE-BANADJI,COM. SINTHIOU BAMANBE-BANADJI,I_MA,COM. SINTHIOU BAMANBE-BANADJI,COM. SINTHIOU BAMANBE-BANADJI,C_MA
GAMADJI SARE,DODEL,I_SL,GAMADJI SARE,DODEL,C_SL
SAGATTA GUETH,LORO,I_LG,SAGATTA GUETH,LORO,C_LG
COM. NIORO,COM. NIORO,I_KA,COM. NIORO,COM. NIORO,C_KA
THIENABA,NDIEYENE SIRAKH,I_TH,THIENABA,NDIEYENE SIRAKH,C_TH
NIAYES,KEUR MASSAR,I_RF,NIAYES,KEUR MASSAR,C_RF
NIAKHAR,PATAR,I_KA,NIAKHAR,PATAR,C_KA
NDAME,TOUBA MOSQUEE,I_DI,NDAME,TOUBA MOSQUEE,C_DI
